,AtomicRadius,AtomicVolume,AtomicWeight,BulkModulus,BoilingT,Column,CovalentRadius,Density,ElectronAffinity,Electronegativity,FirstIonizationEnergy,HeatCapacityMass,Row,phi,SecondIonizationEnergy,ShearModulus
P,0.174443051,-0.380417824,0.242522374,0.066282198,-0.148118362,-0.032125879,-0.219380438,0.042581823,0.341781557,0.01165595,-0.087770283,0.37876007,-0.202422902,0.158369824,0.053793732,-0.136217132
S,0.101355106,-0.418306738,0.099457897,-0.130069688,0.245952368,-0.325515568,-0.242816716,-0.299284846,0.149923339,-0.23888889,-0.216476351,0.032371208,0.007364214,0.24710542,-0.01415036,-0.040198632
Cl,-0.05862974,-0.365472823,-0.022960283,0.079678051,0.375443637,-0.087280437,-0.185591042,-0.327254474,0.023106659,-0.229262039,-0.153200373,-0.224341497,-0.031518131,0.278182179,0.171787292,0.148025095
Ar,-0.267170578,0.276139796,0.365083784,0.041601505,0.04417916,-0.142418072,0.060742524,-0.07015416,-0.31541872,-0.013707973,0.114008442,-0.178931981,0.735695302,-0.534207404,0.048678819,-0.351603448
K,-0.20722717,0.304930538,0.008925603,0.45131129,0.088353716,0.108598068,-0.207689106,-0.044247296,0.22634086,-0.120421194,-0.15400739,-0.057415091,-0.158428773,-0.062349379,0.246111199,0.018383097
Ca,-0.234947369,0.053775236,-0.314850032,0.257564217,0.165365666,0.363046169,-0.029024167,0.053838279,-0.110919744,-0.103107437,-0.146618769,-0.361456394,-0.235513225,0.254152626,0.299887061,0.348429084
Sc,-0.039274063,0.095497981,-0.575836897,-0.17443417,0.274987459,0.451855183,0.26065439,0.26663655,-0.285748869,0.163362086,0.020667562,-0.240615904,-0.005284206,-0.051580537,-0.014445146,0.330797821
Ti,-0.007831194,-0.035953354,-0.189520314,-0.240531877,-0.330815405,0.356673032,0.205656305,0.373222888,-0.340884686,0.342072159,0.254455626,0.088378131,-0.118196167,-0.076929703,0.051160786,0.230089441
V,0.010068782,0.026370425,0.087661445,-0.098926984,-0.565816224,0.095152043,0.132265851,0.424456656,-0.164542913,0.347364992,0.327480197,0.181354746,-0.082977228,-0.057816181,0.113411188,0.053151984
Cr,-0.18504791,0.548863173,0.271278232,0.091858,-0.513859868,-0.031194719,0.207638055,0.373125762,0.0141392,0.279340029,0.307831883,0.025141152,0.117386892,-0.161764845,-0.205282524,-0.277232945
Mn,-0.026668727,0.34397468,0.227079451,-0.104915544,-0.487205148,-0.127434045,0.187236503,0.199834138,0.053545155,0.226651728,0.150706023,0.042675655,0.027399914,-0.199653938,-0.312556475,-0.155994654
Fe,0.127333,0.463156551,0.505402327,0.060875021,-0.573830307,-0.163996637,0.047023214,0.219079971,0.049543437,0.2558119,0.160504505,0.431421995,0.111889198,-0.361128598,-0.105271153,-0.333184123
Co,0.426308483,0.334699839,0.195493326,-0.276284426,-0.164949492,-0.154616162,0.307065874,0.276780963,-0.34118402,0.354966044,0.163975075,0.552477956,0.213371724,-0.403146356,-0.168182656,-0.311854154
Ni,0.449135154,0.057018951,0.384621978,-0.322172344,-0.220966667,-0.345033675,0.266426951,0.070591785,-0.305990815,0.249949738,0.492981881,0.608012676,0.264195561,-0.42149508,-0.07195954,-0.220502719
Cu,0.182593644,0.392427355,0.067148343,-0.495417118,0.061713707,-0.244401693,0.546862543,0.052893724,-0.847658157,0.220031559,0.357463151,0.103545256,0.5017488,-0.276240885,-0.386132956,-0.347531974
Zn,0.160026506,0.041560803,-0.120160364,-0.313439518,0.370328248,-0.047682479,0.355327517,-0.0175684,-0.770690739,0.105888113,0.34397012,-0.079767346,0.342855006,-0.047555309,0.079389445,0.045131553
Ga,0.2768839,-0.145103693,-0.101442643,-0.185093895,0.330959827,-0.02804861,0.089727722,0.131675661,-0.234076053,0.117800474,0.063503571,0.214071214,0.119170681,0.003584718,0.104671158,0.061847761
Ge,0.163371682,-0.019719206,0.141641527,0.179598272,0.025353258,-0.061890285,0.078569233,0.13339442,0.111836508,0.071841583,0.102121294,0.22348395,0.132040232,0.011115609,-0.039392177,-0.259407699
As,0.301960826,-0.001510583,0.14899686,0.016403943,0.010783488,-0.151102602,-0.163018629,-0.008902592,0.135368839,-0.015596014,-0.20721364,0.399659336,-0.170252696,-0.168432772,0.009352016,-0.137037218
Se,0.109637931,-0.071244955,0.234858543,0.028984293,0.151929811,-0.456927866,-0.102748774,-0.186421826,0.153638333,-0.143799171,-0.165713906,0.101520322,0.211219072,-0.015028044,-0.112593345,-0.304798543
Br,-0.122546211,0.021356558,0.115629151,0.303200126,0.099693649,-0.217278808,-0.208083108,-0.250223309,0.177690491,-0.243311495,-0.181347385,0.075843871,0.060944531,-0.135950387,0.233501524,-0.098233946
Kr,0.550915182,0.406654686,0.6250453,-0.630759656,-0.129430979,-0.676201224,0.319937468,-0.397291958,-0.567144811,-0.085051343,0.45782277,0.439174503,0.773053765,-0.591789126,-0.507524431,-0.590724349
Rb,-0.2228259,0.179437965,0.046466578,0.489837676,0.028110379,0.089301705,-0.16129306,-0.006785946,0.366983831,-0.116106071,-0.110850044,0.108290546,-0.149243444,-0.096615076,0.356477946,-0.047841202
Sr,-0.36737591,-0.164523914,-0.274668872,0.427710146,0.102696888,0.407418579,-0.06736517,-0.026190551,0.176909134,-0.145388752,-0.086852945,-0.329532206,-0.284103066,0.306116819,0.334118575,0.24974671
Y,-0.113637932,-0.189103052,-0.478541166,-0.052158892,0.233360454,0.574707806,0.095799804,0.256574005,-0.122457452,0.021352632,-0.188886464,-0.349341094,-0.349800676,0.418106109,0.045616679,0.422425389
Zr,0.072824091,-0.049700812,-0.400743574,-0.249750197,0.206184849,0.506284475,0.167288274,0.492762625,-0.099844694,0.274580628,0.009348455,0.021098834,-0.149066865,0.248198077,-0.148202792,0.085134774
Nb,0.04391605,0.221368089,-0.167420015,-0.160199463,0.035169952,0.208514661,0.254413992,0.615821362,-0.056842942,0.339314938,0.014778581,0.02335313,0.012892462,0.126263171,-0.344211966,-0.017282905
Mo,0.177747622,0.063602604,0.028239431,-0.299133092,-0.016718134,0.071079053,0.193492144,0.610431492,-0.006319033,0.425989568,0.045905031,0.272820413,0.04261668,0.097540818,-0.362790793,-0.208467364
Tc,0.242000043,0.012752309,-0.089484334,-0.591967881,-0.132912278,0.055601206,0.525157392,0.45661515,-0.229125217,0.461676598,0.178811103,0.230202407,0.096543297,0.130493164,-0.521722496,-0.15830186
Ru,0.635123789,-0.018517869,-0.073442072,-0.838036597,0.064554147,-0.115748286,0.413217485,0.327714622,-0.448439807,0.342429459,0.090104245,0.401845664,0.207092211,0.105927326,-0.622969747,-0.20512484
Rh,0.542209327,-0.207791448,0.41015476,-0.429233611,-0.182547808,-0.386810392,0.128789842,0.055907775,0.173182875,0.2303572,0.24153699,0.552919745,0.070876226,0.014919897,-0.294563591,-0.314465046
Pd,0.561477959,-0.189031288,0.169624224,-0.690464437,0.188208774,-0.414167166,0.244862735,-0.152191624,-0.266483754,0.147673771,0.099764645,0.405338585,0.340966046,-0.113506362,-0.236541048,-0.212607309
Ag,0.220025942,0.271696806,0.259073019,-0.596787333,0.100354962,-0.381953716,0.626711547,-0.218997762,-0.855402589,0.148941323,0.489197671,0.024341213,0.663813472,-0.277437419,-0.502267182,-0.343382329
Cd,0.144953623,0.286065549,-0.191306815,-0.41079706,0.419412792,-0.097364761,0.259105951,-0.020564456,-0.481968015,-0.107775323,-0.117808901,-0.168684185,0.419112563,-0.165165082,-0.258029222,-0.267210156
In,0.008040683,-0.086962193,-0.153270483,-0.468277693,0.035179224,-0.093264572,0.199020848,-0.022849098,-0.263619214,0.026916482,0.061821464,-0.353796065,0.278767824,0.228455216,-0.241423696,-0.001872291
Sn,0.03752612,-0.274510741,0.038438059,-0.326213419,-0.045173749,-0.096013211,0.082311489,0.026692983,-0.08452183,0.126090974,0.165471792,-0.014898853,0.129025087,0.46231702,-0.119643293,-0.144210204
Sb,0.087532841,-0.118239678,0.124376737,-0.185172766,-0.059802368,-0.179735005,-0.062481791,0.065347463,0.113141648,0.080858111,-0.09138231,0.15511328,0.042575788,0.210555539,-0.221856192,-0.173448592
Te,0.017612422,-0.121930547,0.287495971,-0.054600269,-0.048856311,-0.360597908,0.006929704,-0.095347211,0.160072207,0.023263317,0.082886949,-0.068672329,0.107627369,0.190089583,-0.281747371,-0.253415257
